symbol,exchange,mic,name,currency,type,shares_outstanding,last_updated,is_active
AA,NYSE,XNYS,Alcoa Corporation Common Stock ,USD,Common Stock,258914723,2025-10-19 04:10:25.531468,1
A,NYSE,XNYS,"Agilent Technologies, Inc. Common Stock",USD,Common Stock,283500427,2025-10-19 04:10:25.525314,1
AAM,NYSE,XNYS,AA Mission Acquisition Corp. Class A Ordinary Shares,USD,Common Stock,35349000,2025-10-19 04:10:24.617276,1
AAMI,NYSE,XNYS,Acadian Asset Management Inc. Common Stock,USD,Common Stock,35811913,2025-10-19 04:10:25.518254,1
AAP,NYSE,XNYS,Advance Auto Parts Inc.,USD,Common Stock,59984947,2025-10-19 04:10:24.611453,1
AAT,NYSE,XNYS,"American Assets Trust, Inc. Common Stock",USD,Common Stock,61152542,2025-10-19 04:10:25.529817,1
AAUC,NYSE,XNYS,Allied Gold Corporation Common Shares,USD,Common Stock,115413969,2025-10-19 04:10:24.614528,1
AB,NYSE,XNYS,AllianceBernstein Holding L.P.  Units,USD,Common Stock,110537295,2025-10-19 04:10:25.528718,1
ABBV,NYSE,XNYS,AbbVie Inc. Common Stock,USD,Common Stock,1766558253,2025-10-19 04:10:25.532809,1
ABCB,NYSE,XNYS,Ameris Bancorp Common Stock,USD,Common Stock,68586848,2025-10-19 04:10:24.768464,1
ABEV,NYSE,XNYS,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),USD,Common Stock,15592433352,2025-10-19 04:10:25.532553,1
ABG,NYSE,XNYS,Asbury Automotive Group Inc Common Stock,USD,Common Stock,19660638,2025-10-19 04:10:25.530622,1
ABM,NYSE,XNYS,ABM Industries Incorporated Common Stock,USD,Common Stock,61233895,2025-10-19 04:10:25.599407,1
ABR,NYSE,XNYS,Arbor Realty Trust Common Stock,USD,Common Stock,192301414,2025-10-19 04:10:25.550853,1
ABT,NYSE,XNYS,Abbott Laboratories Common Stock,USD,Common Stock,1740459014,2025-10-19 04:10:26.423272,1
ACA,NYSE,XNYS,"Arcosa, Inc. Common Stock ",USD,Common Stock,49044906,2025-10-19 04:10:26.549441,1
ACHR,NYSE,XNYS,Archer Aviation Inc. Class A Common Stock,USD,Common Stock,645026291,2025-10-19 04:10:26.558494,1
ACEL,NYSE,XNYS,"Accel Entertainment, Inc. ",USD,Common Stock,84293802,2025-10-19 04:10:26.557691,1
ACCO,NYSE,XNYS,Acco Brands Corporation Common Stock,USD,Common Stock,90132531,2025-10-19 04:10:26.545671,1
ACI,NYSE,XNYS,"Albertsons Companies, Inc. Class A Common Stock",USD,Common Stock,549307530,2025-10-19 04:10:26.555198,1
ACM,NYSE,XNYS,AECOM Common Stock,USD,Common Stock,132446101,2025-10-19 04:10:26.559410,1
ACN,NYSE,XNYS,Accenture plc Class A Ordinary Shares (Ireland),USD,Common Stock,620138892,2025-10-19 04:10:26.603442,1
ACP,NYSE,XNYS,abrdn Income Credit Strategies Fund Common Shares,USD,Common Stock,125470678,2025-10-19 04:10:26.557905,1
ACR,NYSE,XNYS,ACRES Commercial Realty Corp. Common Stock,USD,Common Stock,7426314,2025-10-19 04:10:27.115707,1
ACRE,NYSE,XNYS,Ares Commercial Real Estate Corporation Common Stock,USD,Common Stock,55005353,2025-10-19 04:10:27.606696,1
ACV,NYSE,XNYS,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,USD,Common Stock,10376587,2025-10-19 04:10:27.604049,1
ACVA,NYSE,XNYS,ACV Auctions Inc. Class A Common Stock,USD,Common Stock,172107121,2025-10-19 04:10:27.601998,1
ADC,NYSE,XNYS,Agree Realty Corporation Common Stock,USD,Common Stock,110666073,2025-10-19 04:10:27.724853,1
AD,NYSE,XNYS,"Array Digital Infrastructure, Inc. Common Shares",USD,Common Stock,53373214,2025-10-19 04:10:27.736832,1
ADCT,NYSE,XNYS,ADC Therapeutics SA Common Shares,USD,Common Stock,112499395,2025-10-19 04:10:27.727852,1
ADNT,NYSE,XNYS,Adient plc Ordinary Shares ,USD,Common Stock,81245928,2025-10-19 04:10:27.662536,1
ADM,NYSE,XNYS,Archer-Daniels-Midland Company Common Stock,USD,Common Stock,480464483,2025-10-19 04:10:27.722131,1
ADT,NYSE,XNYS,ADT Inc. Common Stock,USD,Common Stock,765336105,2025-10-19 04:10:27.730810,1
ADX,NYSE,XNYS,Adams Diversified Equity Fund Inc.,USD,Common Stock,120125125,2025-10-19 04:10:27.739396,1
AEE,NYSE,XNYS,Ameren Corporation Common Stock,USD,Common Stock,270409918,2025-10-19 04:10:27.847943,1
AEG,NYSE,XNYS,Aegon Ltd. New York Registry Shares,USD,Common Stock,1565525760,2025-10-19 04:10:28.006431,1
AEM,NYSE,XNYS,Agnico Eagle Mines Limited Common Stock,USD,Common Stock,502341970,2025-10-19 04:10:27.969345,1
AEO,NYSE,XNYS,"American Eagle Outfitters, Inc. Common Stock",USD,Common Stock,169338842,2025-10-19 04:10:27.969781,1
AER,NYSE,XNYS,AerCap Holdings N.V. Ordinary Shares,USD,Common Stock,178309768,2025-10-19 04:10:27.978504,1
AESI,NYSE,XNYS,Atlas Energy Solutions Inc. Common Stock,USD,Common Stock,123738998,2025-10-19 04:10:28.082955,1
AES,NYSE,XNYS,The AES Corporation Common Stock,USD,Common Stock,712049564,2025-10-19 04:10:28.074784,1
AEXA,NYSE,XNYS,American Exceptionalism Acquisition Corp. A Class A Ordinary Shares,USD,Common Stock,34675000,2025-10-19 04:10:28.072625,1
AFB,NYSE,XNYS,AllianceBernstein National Municipal Income Fund Inc,USD,Common Stock,28744936,2025-10-19 04:10:28.097655,1
AFG,NYSE,XNYS,"American Financial Group, Inc. Common Stock",USD,Common Stock,83394479,2025-10-19 04:10:28.096737,1
AFGC,NYSE,XNYS,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",USD,Common Stock,998060,2025-10-19 04:10:28.162368,1
AFL,NYSE,XNYS,AFLAC Incorporated Common Stock,USD,Common Stock,534831490,2025-10-19 04:10:28.211382,1
